Ticker,Stock Parameter
IPO (INTERSPPL),INTERSPPL
IPW (IMAGEPWR),IPW
IRL (INTERAOLT),INTER-RAO-LIETUVA
ITB (INTERBUD),INTERBUD-LUBLIN
ITX (INDITEX),ITX
IUS (IU),INTERNET-UNION
IVE (INVESTEKO),INVESTEKO
IVO (INCUVO),IVO
IWS (IRONWOLF),IWS
IZB (IZOBLOK),IZOBLOK
IZO (IZOLACJA),IZOLACJA-JAROCIN
IZS (IZOSTAL),IZOSTAL
JJB (JUJUBEE),JJB
JMT (JERONIMO),JMT
JRC (JRCGROUP),PYLON
JRH (JRHOLDING),JR-INVEST
JSW,JSW-JASTRZEBSKA-SPOLKA-WEGLOWA
JWW (JWWINVEST),JWW-INVEST
K2H (K2HOLDING),K2-HOLDING
K2P (KOOL2PLAY),K2P
KBJ,KBJ
KBT (KLABATER),KBT
KCH (KRAKCHEM),KRAKCHEMIA
KCI,KCI
KDM (KDMSHIPNG),KDM-SHIPPING-PUBLIC-LIMITED
KER (KERNEL),KERNEL
KGH (KGHM),KGHM
KGL,KGL
KGN (KOGENERA),KOGENERACJA
KLN (KLON),KLON
KME,KANCELARIA-MEDIUS
KMP (KOMPAP),KOMPAP
KOM (KOMPUTRON),KOMPUTRONIK
KOR (KORBANK),KORBANK
KPC (KUPIEC),KUPIEC
KPD (KPPD),KPD
KPI (KANCELWEC),KPI
KPL (KINOPOL),KINO-POLSKA-TV
KRI (KREDYTIN),KREDYT-INKASO
KRK (KRKA),KRKA
KRU (KRUK),KRUK
KSG (KSGAGRO),KSG-AGRO
KTY (KETY),KETY
KUB (KUBOTA),KUB
KVT (KRVITAMIN),KVT
LAB (LABOPRINT),LABO-PRINT
LBD (LOKATYBUD),LOKATY-BUDOWLANE
LBT (LIBET),LIBET
LBW (LUBAWA),LUBAWA
LCN (LABOCANNA),LCN
LEG (LEGIMI),LEG
LEN (LENA),LENA-LIGHTING
LES (LESS),LES
LET (LETUS),LETUS-CAPITAL
LGT (LGTRADE),LGT
LKD (LOKUM),LKD
LMG (LMGAMES),LMG
LPP,LPP
LPS (LAURENPES),LAUREN-PESO
LRK (LARK),LRK
LRQ (LARQ),LRQ
LSI (LSISOFT),LSI-SOFTWARE
LTM (LTGAMES),LTGAMES
LTX (LENTEX),LENTEX
LUD (LUDUS),LUD
LUG,LUG
LUK (LUKARDI),LUKARDI
LVC (LIVECHAT),LIVECHAT
LWB (BOGDANKA),BOGDANKA
M4B,M4B
MAB (MABION),MABION
MAD (MADKOM),MADKOM
MAK (MAKARONPL),MAKARONY-POLSKIE
MAN (MANYDEV),MAN
MAX (MAXIMUS),MAXIMUS
MBF (MBFGROUP),MBF-GROUP
MBG (MERCEDES),MBG
MBK (MBANK),MBANK
MBR (MOBRUK),MBR
MBW (MBWS),MBW
MCD (MYCODERN),MCD
MCI,MCI
MCR (MERCOR),MERCOR
MDA (MEDAPP),MEDAPP
MDB (MEDICOBIO),MDB
MDG (MEDICALG),MDG
MDI (MDIENERGIA),MDI
MDP (MEDCAMP),MEDCAMP
MEG (MEGARON),MEGARON
MEI (MERIT),MERIT-INVESTMENTS
MER (MERA),MERA
MEX (MEXPOLSKA),MEX-POLSKA
MFD (MFOOD),M-FOOD
MFO,MFO
MGT (MANGATA),MGT
MIL (MILLENNIUM),BANK-MILLENNIUM
MIR (MIRACULUM),MIRACULUM
MLB (MAKOLAB),MAKOLAB
MLG (MLPGROUP),MLP-GROUP
MLK (MILKILAND),MILKILAND
MLM (MILISYS),MLM
MLP (MILKPOL),MILKPOL
MLS (MLSYSTEM),MLS
MLT (MOONLIT),MLT
MMC (MMCPL),MM-CONFERENCES
MMD (MILESTONE),MILESTONE
MMS (MADMIND),MMS
MNC (MENNICA),MENNICA-POLSKA
MND (MINERAL),MINERAL-MIDRANGE
MNS (MENNICASK),MENNICA-SKARBOWA
MO2 (MOLIERA2),MO2
MOC (MOLECURE),MOC
MOJ,MOJ
MOL,MOL-MAGYAR-OLAJ
MON (MONNARI),MONNARI-TRADE
MOV (MOVIEGAMES),MOV
MPS (MEGAPIXEL),MPS
MPY (MPAY),MPAY
MRB (MIRBUD),MIRBUD
MRC (MERCATOR),MERCATOR
MRD (MEDARD),MRD
MRG (MERLINGRP),MRG
MRH (HAMBURGER),MR-HAMBURGER
MRK (MARKA),MARKA
MSM,MSM
MSP (MOSTALPLC),MOSTOSTAL-PLOCK
MSW (MOSTALWAR),MOSTOSTAL-WARSZAWA
MSZ (MOSTALZAB),MOSTOSTAL-ZABRZE
MTE (MTENERGIA),MTE
MTN (MILTON),MTN
MVP (MARVIPOL),MVP
MVR (MOVGAMVR),MVR
MWT (MWTRADE),MW-TRADE
MXC (MAXCOM),MXC
MXP (MAXIPIZZA),MAXIPIZZA
MZA (MUZA),MUZA
NCL (NOCTILUCA),NCL
NEU (NEUCA),NEUCA
NFP (NFPL),NOWOCZESNA-FIRMA
NGG (NGGAMES),NGG
NNG (NANOGROUP),NNG
NOB (NOOBZ),NOB
NOV (NOVINA),NOVINA
NRS (NEURONE),NRS
NST (NESTMEDIC),NST
NTC (NTCAPITAL),NTC
NTS (NOTORIA),NOTORIA-SERWIS
NTT (NTTSYSTEM),NTT
NTU (NOVATURAS),NTU
NTV (NTVSA),NTV
NTW (NETWISE),NETWISE
NVA (PANOVA),PANOVA
NVG (NOVAVISGR),NVG
NVT (NOVITA),NOVITA
NWA (NWAI),NWAI-DOM-MAKLERSKI
NWG (NEWAG),NEWAG
NXB (NEXTBIKE),NXB
NXG (NEXITY),NXG
O2T (ONE2TRIBE),O2T
OBL (ORZBIALY),ORZEL-BIALY
ODL (ODLEWNIE),ODLEWNIE-POLSKIE
OEX,OEX
OLY (OLYMP),OLY
OML (ONEMORE),OML
ONC (ONICO),ONICO
OND (ONDE),OND
ONE (1SOLUTION),ONE
ONO (ONESANO),ONO
OPG (ORCOGROUP),OPG
OPI (OPTIGIS),OPI
OPL (ORANGEPL),ORANGE
OPM (OPTEAM),OPTEAM
OPN (OPONEO.PL),OPONEO-PL
ORG (ORGANIC),ORGANIC-FARMA-ZDROWIA
ORL (ORZLOPONY),ORZEL
OTM (OTMUCHOW),OTMUCHOW
OTS (OTLOG),OT-LOGISTICS
OUT (OUTDOORZY),OUTDOORZY
OVI (OVIDWORKS),OVI
OVO (OVOSTAR),OVOSTAR
OXY (OXYGEN),OXY
OZE (OZECAPITAL),OZE
P24 (PRESENT24),PRESENT24
P2B (PLANETB2B),P2B
P2C (P2CHILL),P2C
PAC (PROACTA),PAC
PAS (PASSUS),PAS
PAT (PATENTUS),PATENTUS
PBB (PREFABET),PREFABET
PBF (PBSFINANSE),PBS-FINANSE
PBG,PBG
PBT (PBGAMES),PBT
PBX (PEKABEX),PEKABEX
PCE (POLICE),POLICE
PCF (PCFGROUP),PCF
PCG (PCGUARD),PC-GUARD
PCO (PEPCO),PCO
PCR (PCCROKITA),ROKITA
PCX (PCCEXOL),PCC-EXOL
PDG (PYRAMID),PDG
PEN (PHOTON),PHOTON
PEO (PEKAO),PEKAO
PEP,POLENERGIA
PFG (PREFAGRP),PHIWIERZY
PFM (PFMEDICAL),PERMA-FIX-MEDICAL
PGE,PGE
PGI (PROGIELDA),PGI
PGM (PMPG),POINT-GROUP
PGV (PGFGROUP),PGV
